Symbol,Shares,NetIncome,Equity,BookValue,Free float
4210,80,51.2,1269.78,15.87,48.362
4220,850,-308.85,7881.68,9.27,255
4230,30,123.97,701.83,23.39,9
4240,70,219.23,1066.61,15.23,35.7
4250,671.4,-33.43,6638.46,9.88,279.048
4260,18.3,85.77,406.16,22.19,7.971
4270,60,75.13,775.2,12.92,28.5
4280,3705.882,402.59,24579.3,6.63,185.294
4290,15,42.22,227.87,15.19,6.688
4300,1080,2122.68,13859.18,12.83,659.432
5110,4166.593,1164.63,49169.36,11.8,715.804
6001,28.571,44.33,464.75,16.26,12.711
6002,27,114.64,316.72,11.73,8.1
6010,60,-38.42,975.32,16.25,29.285
6020,50,-6.95,398.54,7.97,49.998
6040,20,7.04,369.28,18.46,14.499
6050,20,-28.68,135.67,6.78,7.698
6060,7.5,-4.7,84.76,11.3,7.498
6070,20,62.84,535.06,26.75,19.04
6080,5,-,56.49,11.29,5
6090,50,4.49,649.33,12.98,49.396
7010,2000,10822.06,41999.33,20.99,325.748
7020,700,3013.87,12243.18,17.49,409.383
7030,1400,-3098.81,8622.48,6.15,629.89
7040,100,-,1000,10,35
8010,50,296.39,1410.83,28.21,26.685
8020,30,7.23,252.21,8.4,14.244
8030,80,146.51,925.47,11.56,20
8040,10,-22.47,42.77,4.27,3.1
8050,10,12.18,76.21,7.62,4
8060,20,-14.88,163.15,8.15,8
8070,20,8.1,204.36,10.21,8
8080,34,-16.46,329.75,9.69,11.9
8090,20,-14.57,157.28,7.86,8
8100,10,-8.39,81.54,8.15,4
8110,10,-20.82,57.48,5.74,4
8120,22,-1.89,188.68,8.57,8.8
8130,10,-4.99,76.9,7.69,2.645
8140,10,-31.97,51.07,5.1,4
8150,10,-23.74,44.68,4.46,4
8160,20,-12.64,156.01,7.8,8
8170,25,0.33,243.78,9.75,10.5
8180,20,-2.32,200.13,10,8.4
8190,20,-1.02,185.72,9.28,8
8200,100,4.83,1005.63,10.05,40
8210,40,58.24,439.86,10.99,16
8260,20,-,200,10,8
8270,13,-,130,10,5.2
8280,20,-,200,10,6
8250,20,-,194.58,9.72,8
8220,20,-,181.34,9.06,8
1320,51,105.84,894.88,17.54,22.246
8240,10,-,90.43,9.04,4
8230,20,-,172.59,8.62,6
