Output/8914-9030-8914Outage2027ModifiedCIM5.out
SEC 2022 PEAK BASE CASE
                    119            120            122            123      
        Time(s) 179141 8914 LV 179151 8915 LV 179171 8917 LV 179181 8918 LV
                      -1 SPEED       -1 SPEED       -1 SPEED       -1 SPEED
      0.0508313    -0.00893439    -0.00853791    -0.00855333    -0.00826041
      0.0516646    -0.00893439    -0.00853791    -0.00855334    -0.00826041
      0.0524979    -0.00893438    -0.00853792    -0.00855334    -0.00826041
      0.0533312    -0.00893437    -0.00853792    -0.00855334    -0.00826041
      0.0541645    -0.00893436    -0.00853792    -0.00855335    -0.00826042
      0.0549978    -0.00893436    -0.00853793    -0.00855335    -0.00826042
      0.0558311    -0.00893435    -0.00853793    -0.00855336    -0.00826042
      0.0566644    -0.00893434    -0.00853793    -0.00855336    -0.00826042
      0.0574977    -0.00893434    -0.00853794    -0.00855336    -0.00826043
       0.058331    -0.00893433    -0.00853794    -0.00855337    -0.00826043
      0.0591643    -0.00893432    -0.00853795    -0.00855337    -0.00826043
      0.0599976    -0.00893432    -0.00853795    -0.00855337    -0.00826043
      0.0608309    -0.00893431    -0.00853795    -0.00855338    -0.00826043
      0.0616642    -0.00893431    -0.00853796    -0.00855338    -0.00826043
      0.0624975     -0.0089343    -0.00853796    -0.00855338    -0.00826043
      0.0633308     -0.0089343    -0.00853796    -0.00855339    -0.00826044
      0.0641641    -0.00893429    -0.00853797    -0.00855339    -0.00826044
      0.0649974    -0.00893429    -0.00853797    -0.00855339    -0.00826044
      0.0658307    -0.00893429    -0.00853797     -0.0085534    -0.00826044
       0.066664    -0.00893428    -0.00853797     -0.0085534    -0.00826044
      0.0674973    -0.00893428    -0.00853798     -0.0085534    -0.00826044
      0.0683306    -0.00893428    -0.00853798     -0.0085534    -0.00826044
      0.0691639    -0.00893428    -0.00853798    -0.00855341    -0.00826044
      0.0699972    -0.00893427    -0.00853798    -0.00855341    -0.00826044
      0.0708305    -0.00893427    -0.00853799    -0.00855341    -0.00826044
      0.0716638    -0.00893427    -0.00853799    -0.00855341    -0.00826044
      0.0724971    -0.00893427    -0.00853799    -0.00855342    -0.00826044
      0.0733304    -0.00893427      -0.008538    -0.00855342    -0.00826044
      0.0741637    -0.00893426      -0.008538    -0.00855342    -0.00826044
       0.074997    -0.00893426      -0.008538    -0.00855342    -0.00826044
      0.0758303    -0.00893426      -0.008538    -0.00855343    -0.00826044
      0.0766636    -0.00893426      -0.008538    -0.00855343    -0.00826044
      0.0774969    -0.00893426      -0.008538    -0.00855343    -0.00826044
      0.0783302    -0.00893426    -0.00853801    -0.00855343    -0.00826044
      0.0791635    -0.00893426    -0.00853801    -0.00855343    -0.00826044
      0.0799968    -0.00893427    -0.00853801    -0.00855344    -0.00826044
      0.0808301    -0.00893427    -0.00853801    -0.00855344    -0.00826044
      0.0816634    -0.00893427    -0.00853801    -0.00855344    -0.00826044
      0.0824967    -0.00893427    -0.00853802    -0.00855344    -0.00826044
        0.08333    -0.00893427    -0.00853802    -0.00855344    -0.00826043
      0.0841633    -0.00893428    -0.00853802    -0.00855344    -0.00826043
      0.0849966    -0.00893428    -0.00853802    -0.00855345    -0.00826043
        0.08583    -0.00893428    -0.00853802    -0.00855345    -0.00826043
      0.0866633    -0.00893428    -0.00853802    -0.00855345    -0.00826043
