Output/8914-9030-8914Outage2027ModifiedCIM5.out
SEC 2022 PEAK BASE CASE
                    140            141            142      
        Time(s) 18916 GHAZAL S 179151 8915 LV 179221 8922 LV
                            VC      -1 STCM I      -1 STCM I
       0.223325         1.4874              1              1
       0.224158        1.48782              1              1
       0.224992        1.48822              1              1
       0.225825         1.4886              1              1
       0.226658        1.48898              1              1
       0.227491        1.48934              1              1
       0.228325        1.48969              1              1
       0.229158        1.49002              1              1
       0.229991        1.49035              1              1
       0.230825        1.49067              1              1
       0.231658        1.49097              1              1
       0.232491        1.49127              1              1
       0.233325        1.49155              1              1
       0.234158        1.49183              1              1
       0.234991         1.4921              1              1
       0.235824        1.49236              1              1
       0.236658        1.49261              1              1
       0.237491        1.49285              1              1
       0.238324        1.49309              1              1
       0.239158        1.49331              1              1
       0.239991        1.49353              1              1
       0.240824        1.49374              1              1
       0.241658        1.49395              1              1
       0.242491        1.49415              1              1
       0.243324        1.49434              1              1
       0.244157        1.49452              1              1
       0.244991         1.4947              1              1
       0.245824        1.49488              1              1
       0.246657        1.49504              1              1
       0.247491        1.49521              1              1
       0.248324        1.49536              1              1
       0.249157        1.49552              1              1
       0.249991        1.49566              1              1
       0.250824         1.4958              1              1
       0.251657        1.49594              1              1
        0.25249        1.49608              1              1
       0.253324         1.4962              1              1
       0.254157        1.49633              1              1
        0.25499        1.49645              1              1
       0.255824        1.49656              1              1
       0.256657        1.49668              1              1
        0.25749        1.49679              1              1
       0.258324        1.49689              1              1
       0.259157        1.49699              1              1
        0.25999        1.49709              1              1
       0.260824        1.49719              1              1
       0.261657        1.49728              1              1
        0.26249        1.49737              1              1
       0.263323        1.49745              1              1
       0.264157        1.49754              1              1
        0.26499        1.49762              1              1
       0.265823         1.4977              1              1
       0.266657        1.49777              1              1
        0.26749        1.49785              1              1
       0.268323        1.49792              1              1
       0.269157        1.49798              1              1
        0.26999        1.49805              1              1
       0.270823        1.49811              1              1
       0.271656        1.49818              1              1
        0.27249        1.49824              1              1
       0.273323        1.49829              1              1
       0.274156        1.49835              1              1
        0.27499         1.4984              1              1
       0.275823        1.49846              1              1
       0.276656        1.49851              1              1
        0.27749        1.49856              1              1
       0.278323         1.4986              1              1
       0.279156        1.49865              1              1
       0.279989        1.49869              1              1
       0.280823        1.49874              1              1
       0.281656        1.49878              1              1
       0.282489        1.49882              1              1
       0.283323        1.49886              1              1
       0.284156        1.49889              1              1
       0.284989        1.49893              1              1
       0.285823        1.49896              1              1
       0.286656          1.499              1              1
       0.287489        1.49903              1              1
       0.288323        1.49906              1              1
       0.289156        1.49909              1              1
       0.289989        1.49912              1              1
       0.290822        1.49915              1              1
       0.291656        1.49918              1              1
       0.292489        1.49921              1              1
       0.293322        1.49923              1              1
       0.294156        1.49926              1              1
       0.294989        1.49928              1              1
       0.295822        1.49931              1              1
       0.296656        1.49933              1              1
       0.297489        1.49935              1              1
       0.298322        1.49937              1              1
       0.299155        1.49939              1              1
       0.299989        1.49941              1              1
       0.300822        1.49943              1              1
       0.301655        1.49945              1              1
       0.302489        1.49947              1              1
       0.303322        1.49949              1              1
       0.304155         1.4995              1              1
       0.304989        1.49952              1              1
       0.305822        1.49953              1              1
       0.306655        1.49955              1              1
       0.307488        1.49956              1              1
       0.308322        1.49958              1              1
       0.309155        1.49959              1              1
       0.309988        1.49961              1              1
       0.310822        1.49962              1              1
       0.311655        1.49963              1              1
       0.312488        1.49964              1              1
       0.313322        1.49966              1              1
       0.314155        1.49966              1              1
       0.314988        1.49965              1              1
       0.315821        1.49962              1              1
       0.316655        1.49956              1              1
       0.317488        1.49948              1              1
       0.318321        1.49937              1              1
       0.319155        1.49923              1              1
       0.319988        1.49904              1              1
       0.320821        1.49881              1              1
       0.321655        1.49854              1              1
       0.322488        1.49822              1              1
       0.323321        1.49785              1              1
       0.324155        1.49743              1              1
       0.324988        1.49694              1              1
       0.325821        1.49641              1              1
       0.326654        1.49581              1              1
       0.327488        1.49514              1              1
       0.328321        1.49442              1              1
       0.329154        1.49363              1              1
       0.329988        1.49277              1              1
       0.330821        1.49184              1              1
       0.331654        1.49085              1              1
       0.332488        1.48978              1              1
       0.333321        1.48864              1              1
       0.334154        1.48743              1              1
       0.334987        1.48615              1              1
       0.335821         1.4848              1       0.999967
       0.336654        1.48337              1       0.999685
       0.337487        1.48187              1       0.999168
       0.338321         1.4803              1       0.998371
       0.339154        1.47866              1        0.99727
       0.339987        1.47694              1        0.99585
       0.340821        1.47516              1       0.994098
       0.341654         1.4733              1       0.992007
       0.342487        1.47137              1       0.989575
        0.34332        1.46938              1         0.9868
       0.344154        1.46732              1       0.983685
       0.344987        1.46519              1       0.980233
        0.34582          1.463              1        0.97645
       0.346654        1.46075              1       0.972342
       0.347487        1.45843              1       0.967916
        0.34832        1.45606              1       0.963182
       0.349154        1.45363              1       0.958148
       0.349987        1.45114              1       0.952823
        0.35082         1.4486              1       0.947219
       0.351654        1.44601              1       0.941346
       0.352487        1.44337              1       0.935215
        0.35332        1.44069              1       0.928837
       0.354153        1.43796              1       0.922224
       0.354987        1.43519              1       0.915389
        0.35582        1.43238              1       0.908342
       0.356653        1.42954              1       0.901097
       0.357487        1.42666              1       0.893667
        0.35832        1.42375              1       0.886063
       0.359153        1.42081              1       0.878298
       0.359987        1.41785              1       0.870385
        0.36082        1.41486              1       0.862338
       0.361653        1.41186              1       0.854168
       0.362486        1.40884              1       0.845888
        0.36332         1.4058              1       0.837512
       0.364153        1.40275              1       0.829052
       0.364986         1.3997              1       0.820521
        0.36582        1.39663              1       0.811931
       0.366653        1.39357              1       0.803294
       0.367486         1.3905              1       0.794623
        0.36832        1.38744              1       0.785929
       0.369153        1.38438              1       0.777226
       0.369986        1.38133              1       0.768524
       0.370819        1.37829              1       0.759836
       0.371653        1.37526              1       0.751172
       0.372486        1.37225              1       0.742545
       0.373319        1.36926              1       0.733965
       0.374153        1.36628              1       0.725443
       0.374986        1.36333              1        0.71699
       0.375819        1.36041              1       0.708616
       0.376653        1.35752              1       0.700331
       0.377486        1.35465              1       0.692145
       0.378319        1.35182              1       0.684067
       0.379153        1.34903              1       0.676107
       0.379986        1.34627              1       0.668274
       0.380819        1.34355              1       0.660577
       0.381652        1.34087              1       0.653023
       0.382486        1.33824              1       0.645622
       0.383319        1.33566              1       0.638379
       0.384152        1.33312              1       0.631304
       0.384986        1.33063              1       0.624402
       0.385819        1.32819              1       0.617681
       0.386652         1.3258              1       0.611146
       0.387486        1.32347              1       0.604804
       0.388319        1.32119              1        0.59866
       0.389152        1.31897              1       0.592719
       0.389985         1.3168              1       0.586987
       0.390819         1.3147              1       0.581468
       0.391652        1.31266              1       0.576166
       0.392485        1.31068              1       0.571085
       0.393319        1.30876              1       0.566229
       0.394152        1.30691              1       0.561601
       0.394985        1.30512              1       0.557203
       0.395819        1.30339              1       0.553038
