Ticker,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
4003,0,0,0,0,0,0,0,0,0,0,2.5,3.75,4.75,1,0
4004,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,1,1.5
4005,0,0,0,0,0,0,0,0,0,0,0,1.45,1.55,1.55,0.75
4006,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
4007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75
4008,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5
4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4050,2.5,0,2.5,3.5,0,0,0,0,0,0.5,0.5,0.5,2.25,0,0.5
4160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4180,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0.5,0.5,0,0
4190,0,0,20,22,20,10,8.5,10.2,8.15,10.1,7.5,8.45,6.2,7.61,7.1
4200,0,0,0,0,0,0,1.5,1.5,1.5,2,2,2,2,2,2
4240,0,0,0,0,0,1,3.5,0,2,2.5,2,4.5,4.25,1,0
4290,0,0,0,0,0,0,0,0.75,0.5,0.5,0.5,0.5,1,0.8,1
2030,0,5,0,0,8,0,0,1.5,0.5,0.5,0.5,0.5,0.6,0.7,0.5
2120,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0
2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
4080,2.5,2.5,7,4,0,0,1,0.5,0.75,0.75,0.75,1,1,1,1
4130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4280,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5
2080,4.5,5,6,8,1.9,1,1.5,1.5,0.5,0.7,1.5,2.75,1.8,1.4,0.9
5110,4,3.5,3.5,3.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
2050,11,19,16.5,12,1.35,1.25,1,1,1.25,1,1.45,2,2.25,2,1.25
2100,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
2270,0,0,0,11.5,0,1,1.5,0,3,3,3,3,3.5,3.5,4
2280,0,0,0,0,0,2,2.5,3.5,4,2.25,2.25,1.25,1,1,1.15
4061,,,0,0,0,0,0,0,0,0,0,0,0,0,0
6001,0,0,0,0,0,0,0,2.25,1,1.5,2,2,2,2,2.5
6002,0,0,0,0,0,0,0,0,2.25,3,3.25,3.5,3.25,3.1,3
6004,0,0,0,0,0,0,0,0,0,0,3,5.25,6.75,7,7
6010,0,0,3,5,1.2,1.5,0,0.75,0,0,1.25,0.5,0,0.5,0.5
