Name,Date,Open,High,Low,Close,Volume Traded,Value Traded (SAR),No. of Trades
Tadawul All Share Index (TASI),08-12-2007,-,-,-,7732.83,219298954,8208103073,201370
Tadawul All Share Index (TASI),08-13-2007,-,-,-,7842.1,288454460,10092855537.75,245960
Tadawul All Share Index (TASI),08-14-2007,-,-,-,7910.56,243930728,9519284134.25,247192
Tadawul All Share Index (TASI),08-15-2007,-,-,-,7840.41,163628103,6909189921.75,178065
Tadawul All Share Index (TASI),08-18-2007,-,-,-,7802.13,214092902,9083122301.75,239338
Tadawul All Share Index (TASI),08-19-2007,-,-,-,7938.44,306107745,13258398588,310930
Tadawul All Share Index (TASI),08-20-2007,-,-,-,7951.14,243317075,10996811934,266856
Tadawul All Share Index (TASI),08-21-2007,-,-,-,7965.53,230703402,10177276717.25,255528
Tadawul All Share Index (TASI),08-22-2007,-,-,-,8004.05,199817321,9046138294.25,223388
Tadawul All Share Index (TASI),08-25-2007,-,-,-,8011.65,226817218,10279097139,264209
Tadawul All Share Index (TASI),08-26-2007,-,-,-,8055.21,290333139,11964620068,292587
Tadawul All Share Index (TASI),08-27-2007,-,-,-,8054.31,287045459,12059442006.75,304676
Tadawul All Share Index (TASI),08-28-2007,-,-,-,8109.59,273035649,12019783952.75,293132
Tadawul All Share Index (TASI),08-29-2007,-,-,-,8188.53,222507852,10520296197.25,258784
Tadawul All Share Index (TASI),09-01-2007,-,-,-,8006.51,288892917,12214646720.75,445847
Tadawul All Share Index (TASI),09-02-2007,-,-,-,7938.87,244256451,9238673841,279174
Tadawul All Share Index (TASI),09-03-2007,-,-,-,7974.18,250332070,10326149216.25,325747
Tadawul All Share Index (TASI),09-04-2007,-,-,-,7833.43,201622062,8574124926.75,298242
Tadawul All Share Index (TASI),09-05-2007,-,-,-,7814.49,176671608,7245701104.75,232226
Tadawul All Share Index (TASI),09-08-2007,-,-,-,7936.87,198703663,8257625693,222193
Tadawul All Share Index (TASI),09-09-2007,-,-,-,7887.23,184047466,7830824354,215525
Tadawul All Share Index (TASI),09-10-2007,-,-,-,7922.18,209431475,8753312903.75,221494
Tadawul All Share Index (TASI),09-11-2007,-,-,-,7778.96,243965079,11035272999,366612
Tadawul All Share Index (TASI),09-12-2007,-,-,-,7788.11,187495235,7449662041.5,227091
Tadawul All Share Index (TASI),09-15-2007,-,-,-,7798.97,141249446,4996752315.25,132158
Tadawul All Share Index (TASI),09-16-2007,-,-,-,7756.49,123099506,5398222079.5,165363
Tadawul All Share Index (TASI),09-17-2007,-,-,-,7807.95,134518554,5851299128.5,153794
Tadawul All Share Index (TASI),09-18-2007,-,-,-,7834.93,125905391,5745078670,153030
Tadawul All Share Index (TASI),09-19-2007,-,-,-,7851.76,150637144,5794880013.75,150603
Tadawul All Share Index (TASI),09-22-2007,-,-,-,7846.8,97636305,4202250973,122160
Tadawul All Share Index (TASI),09-24-2007,-,-,-,7826.19,128464251,5114347066.5,139319
Tadawul All Share Index (TASI),09-25-2007,-,-,-,7880.83,127800301,5327977282.5,137478
Tadawul All Share Index (TASI),09-26-2007,-,-,-,7904.6,138244080,5454477914.75,145976
Tadawul All Share Index (TASI),09-29-2007,-,-,-,7844.65,157495051,5624908596,165027
Tadawul All Share Index (TASI),09-30-2007,-,-,-,7813.12,108337344,4070751490,118964
Tadawul All Share Index (TASI),10-01-2007,-,-,-,7819.15,110414424,4641680671.25,119224
Tadawul All Share Index (TASI),10-02-2007,-,-,-,7794.32,96672194,3746925114.25,104059
Tadawul All Share Index (TASI),10-03-2007,-,-,-,7704.58,110159369,4005699864,120676
Tadawul All Share Index (TASI),10-06-2007,-,-,-,7632.84,91230418,3643089239,168733
Tadawul All Share Index (TASI),10-07-2007,-,-,-,7666.26,110514808,4270446068.25,132838
Tadawul All Share Index (TASI),10-08-2007,-,-,-,7687.37,124523490,4273555225.25,119708
Tadawul All Share Index (TASI),10-09-2007,-,-,-,7724.57,107660061,3812389969,104595
Tadawul All Share Index (TASI),10-10-2007,-,-,-,7806.53,116724090,4050540936,119185
Tadawul All Share Index (TASI),10-20-2007,-,-,-,7999.18,181204231,6165092261.5,148697
Tadawul All Share Index (TASI),10-21-2007,-,-,-,7977.38,142026692,5310017319.5,142905
Tadawul All Share Index (TASI),10-22-2007,-,-,-,8043.44,194497909,6425358634.25,153123
Tadawul All Share Index (TASI),10-23-2007,-,-,-,8038.93,280535533,8430533321,180153
Tadawul All Share Index (TASI),10-24-2007,-,-,-,8083.46,158381445,5728830649.75,142809
Tadawul All Share Index (TASI),10-27-2007,-,-,-,8242.32,294976912,9438938433.25,213226
Tadawul All Share Index (TASI),10-28-2007,-,-,-,8246.07,262260418,8996182958.25,204829
Tadawul All Share Index (TASI),10-29-2007,-,-,-,8370.18,293191794,8974108399.75,178527
Tadawul All Share Index (TASI),10-30-2007,-,-,-,8326.87,231143218,8159395081.5,184962
Tadawul All Share Index (TASI),10-31-2007,-,-,-,8478.99,294784819,8418491426.25,191025
Tadawul All Share Index (TASI),11-03-2007,-,-,-,8682.68,368899720,9881888257,198435
Tadawul All Share Index (TASI),11-04-2007,-,-,-,8719.51,260001653,8077935386.25,172435
Tadawul All Share Index (TASI),11-05-2007,-,-,-,8732.6,262024349,8418304555.5,166443
Tadawul All Share Index (TASI),11-06-2007,-,-,-,8889.89,271752374,8432731378.75,175069
Tadawul All Share Index (TASI),11-07-2007,-,-,-,8933.95,326692142,9569812567.25,185514
Tadawul All Share Index (TASI),11-10-2007,-,-,-,8941.95,292549128,9626650285.5,200106
Tadawul All Share Index (TASI),11-11-2007,-,-,-,8937.36,259830519,9265064182.25,198189
Tadawul All Share Index (TASI),11-12-2007,-,-,-,9003,209590879,7772871627,154010
Tadawul All Share Index (TASI),11-13-2007,-,-,-,9085.8,247326782,9540791552.5,182601
Tadawul All Share Index (TASI),11-14-2007,-,-,-,9080.1,222818555,9073198128,187954
Tadawul All Share Index (TASI),11-17-2007,-,-,-,9055.53,225512536,8387359267,184874
Tadawul All Share Index (TASI),11-18-2007,-,-,-,9003.81,206584677,7983433670.25,173777
Tadawul All Share Index (TASI),11-19-2007,-,-,-,9138.3,318632522,10628857947,205646
Tadawul All Share Index (TASI),11-20-2007,-,-,-,9299.61,365367399,11952101655.75,225250
Tadawul All Share Index (TASI),11-21-2007,-,-,-,9406.59,362337550,11682414908.75,223480
